Sentence	Label
डिजाइन बहुत ही अजीब है, क्योंकि कान &quot;क्लिप&quot; बहुत आरामदायक नहीं है।	0
खाना स्वादिष्ट था!	1
पेराबो में एक अच्छा ऊर्जा स्तर है और यह स्पष्ट रूप से एक कैमरे के सामने बहुत आरामदायक है।	1
निश्चित रूप से जाँच के लायक है।	1
कम से कम 40min हमारे आदेश देने और आने वाले भोजन के बीच से गुजरा, और यह इतना व्यस्त नहीं था।	0
उपलब्ध एफएम ट्रांसमीटर का सबसे अच्छा इलेक्ट्रॉनिक्स।	1
उनकी नियमित रूप से टोस्टेड ब्रेड मक्खन के सामयिक पैट्स के साथ समान रूप से संतुष्ट थी ... मम्मम ...!	1
यह एक शानदार जगह है और मैं इसकी अत्यधिक सिफारिश करता हूं।	1
निश्चित नहीं कि कौन अधिक खो गया था - सपाट पात्र या दर्शक, जिनमें से लगभग आधे लोग बाहर चले गए।	0
यह एक शानदार फोन था।	1
मुझे ईयर हैडसेट्स के ऊपर जबरा का डिज़ाइन और लुक पसंद है और 5020 कान में दर्द के बिना 24 घंटे पहनने के लिए काफी आरामदायक है।	1
भयानक .. मेरी कार इस कैसेट को स्वीकार नहीं करेगी।	0
8 घंटे बाद लौटा।	0
यह एक उत्कृष्ट नाटक, एक उत्कृष्ट थ्रिलर और एक उत्कृष्ट फिल्म है।	1
यह फिल्म अपना खुद का ब्रह्मांड बनाती है, और हर तरह से आकर्षक है।	1
फिल्मांकन का विस्तार कम था।	0
अमेज़ॅन के लिए फिर से धन्यवाद, जिन चीजों के लिए मुझे अच्छी कीमत चाहिए!	1
आप इसे पछतावा नहीं होगा!	1
दोनों महान!	1
निश्चित रूप से एक सौदा।	1
यदि आप होलस्टर का उपयोग करना चाहते हैं तो न खरीदें।	0
हमारे पास शानदार सेवा थी, और वातावरण से प्रसन्न थे।	1
समुद्री भोजन उबला हुआ झींगा और केकड़े के पैरों तक सीमित था लेकिन केकड़े के पैरों ने निश्चित रूप से ताजा स्वाद नहीं लिया।	0
यह फिल्म संभवतः हॉरर के सबसे रचनात्मक कार्यों में से एक है।	1
यदि आपके पास मौका है तो इसे अपने बच्चों के साथ देखें - यह पिछले 50 वर्षों में कितनी दूर की दौड़ के रिश्ते आए हैं, इसके बारे में कुछ आश्चर्यजनक संवाद खोलेंगे।	1
इंटरनेट का उपयोग ठीक था, यह दुर्लभ उदाहरण है कि उसने काम किया।	0
एंगस स्क्रिम्म भी कुछ हद तक संक्षिप्त लेकिन यादगार भूमिका में एक अच्छे प्रदर्शन में बदल जाता है, धीरे-धीरे मेनसिनिंग, वायलिन बजाते एनाटोमिस्ट डॉक्टर क्विन।	1
क्रस्ट अच्छा नहीं है।	0
इसी तरह, डिलीवरी मैन ने माफी का एक शब्द भी नहीं कहा जब हमारा खाना 45 मिनट लेट था।	0
हॉकी के दृश्य भयानक हैं, डिफेंसमैन खेल रहे हैं जैसे वे 5 साल के हैं, शॉट्स पर डाइविंग करते हैं जो नेट के 10 फीट चौड़े हैं, आदि।	0
स्टेक सभी अच्छी तरह से छंटनी की और पूरी तरह से पकाया जाता है।	1
सेवा भयानक थी, भोजन औसत दर्जे का था।	0
*** SPOILERS *** इसके बारे में और कुछ भी (या नहीं) कहा जा सकता है, सर्फ़स शानदार रूप से गढ़ा गया है।	1
मैं थोड़ी खराब सेवा ले सकता हूं लेकिन खाना बेकार है।	0
हर चरित्र पर ध्यान दिया जाता है, और जटिल मनोवैज्ञानिक चित्रण, वफादारी, विश्वासघात, प्रेम और आशा का विस्तार करते हैं, जबरदस्त हैं।	1
तकनीकी रूप से, फिल्म प्रभावशाली कैमरा-वर्क, ठोस अभिनय और रिज़ ऑर्टोलानी के प्रभावी संगीत के साथ अच्छी तरह से बनाई गई है - विशेष रूप से अच्छा एक आवर्ती बेहोश महिला मुखर है जो लगता है कि यह एक दूर की पहाड़ी से आ रहा है।	1
भुना हुआ बीफ़ सैंडविच वास्तव में अच्छा चखा!	1
बस पता नहीं क्यों वे इतने धीमे थे।	0
फ़ाइल ब्राउज़र सभी विकल्पों की पेशकश करता है जो एक की जरूरत है। हैंड्सफ्री महान है।	1
शायद मैंने उन्हें एक रात को अन्य समीक्षाओं को देखते हुए पकड़ लिया, लेकिन मैं वापस जाने के लिए प्रेरित नहीं हूं।	0
इसमें सभी सुविधाएँ हैं जो मुझे चाहिए	1
मेरे सैमसंग सेल के साथ जोड़ी बनाना आसान है।	1
यह सिर्फ दर्दनाक है!	0
मेरा मतलब है, एक यथार्थवादी दुनिया में, वह कभी भी उस बैले प्रदर्शनों में नहीं गई होगी ... पूरी बात काफी दयनीय थी।	0
अब तक यह एक आकर्षण की तरह काम किया है।	1
अविश्वसनीय साउंडट्रैक वास्तव में फिल्म के सार को पकड़ लेता है।	1
बैटरी उस मूल के लिए एक प्रतिस्थापन के रूप में अच्छी तरह से काम कर रही है जो 2 साल पहले फोन के साथ आया था।	1
कान की कलियाँ केवल एक कान में संगीत बजाती हैं।	0
यह एक तरह की फिल्म है जिसे देखना एक खुशी की बात है।	1
झींगा- जब मैंने इसे अलिखित किया (मैं ब्रशफ़ायर से केवल 1/2 मील दूर रहता हूं) तो यह सचमुच बर्फ की ठंड थी।	0
मैं किसी को भी इस आइटम की सिफारिश नहीं करूंगा।	0
प्लग गलत आकार था।	0
उनके पास भोजन का एक अच्छा चयन है जिसमें एक बड़े पैमाने पर मीटलाफ सैंडविच, एक कुरकुरा चिकन लपेट, एक डेलिश टूना पिघल और कुछ स्वादिष्ट बर्गर शामिल हैं।	1
इसलिए जब तक मैं किसी कन्वर्टर के पास नहीं जाता, मेरे लिए इसे अमेरिका में प्लग करने का कोई तरीका नहीं है।	0
बैटरी अविश्वसनीय है और साथ ही सेवा उपयोग एंटेना भी है।	0
इस फिल्म के बारे में सब कुछ बस अविश्वसनीय है।	1
जो लोग यूरोपीय फिल्मों और &quot;कला फिल्मों&quot; को पसंद करते हैं उन्हें यह फिल्म पसंद आएगी।	1
नरक नहीं मैं वापस जाऊंगा	0
यहां तक कि इसके मधुर क्षण भी हैं।	1
फिर कुछ दिनों बाद उपयोग के दौरान फोन से धुएं का एक कश निकल आया।	0
एक इतालवी समीक्षक ने इसे &quot;एक छोटी, महान फिल्म&quot; कहा, और यह सही है।	1
यह निश्चित रूप से बुरे लोगों में से एक है।	0
मेनू में सब कुछ शानदार है और हम भी रोमांचित थे कि उन्होंने हमारी शाकाहारी बेटी के लिए अद्भुत जगह बनाई।	1
शैली के प्रशंसक स्वर्ग में होंगे।	1
लेकिन यह बहुत अच्छा है, मैं वास्तव में इसकी सिफारिश करूंगा	1
शहर के एक दिलचस्प हिस्से में, यह जगह अद्भुत है।	1
यदि आप इसे देखते हैं, तो आपको संभवतः इसे शेल्फ पर छोड़ देना चाहिए।	0
आप कैल्स एन सरकोफेगे के अपने हिस्से में जनरल लोवेनहिल्म के उत्तम आनंद को साझा करते हैं, भले ही आप सिर्फ एक फिल्म देख रहे हों - लेकिन आप स्वाद लेने के लिए सिर्फ एक छोटे नमूने की कामना करते हैं।	1
यह देखने के लिए अद्भुत और प्रेरणादायक है, और मुझे आशा है कि यह वीडियो या डीवीडी पर फिर से जारी किया जाएगा।	1
जैसा कि मैंने ऊपर कहा .... सटीक उपयोग!	0
आपको पसंद आएगा कि यह कितना पतला है।	1
फिल्म शुरू से अंत तक बहुत दिलचस्प थी।	1
मैं फिल्म में बहुत निराश था।	0
सब्जियां इतनी ताजी हैं और सॉस प्रामाणिक थाई जैसा लगता है।	1
यह एक महान नोइर-क्राइम-ड्रामा, बेलमंडो और लिनो वेंचुरा द्वारा अविश्वसनीय प्रदर्शन के रूप में उच्च रैंक करता है।	1
कुछ महीने बाद, मैं लौट आया और एक अद्भुत भोजन किया।	1
दुर्भाग्य से, यह अच्छा नहीं था।	0
मैं बेकन लिपटे खजूर प्यार करता था।	1
मुझे खुशी है कि मैंने इस उत्पाद को अमेज़ॅन पर पाया है यह खोजना मुश्किल है, इसकी उच्च कीमत नहीं थी।	1
भोजन स्थान छोटा है, लेकिन सुरुचिपूर्ण ढंग से सजाया गया है और आरामदायक है।	1
खजांची को इस बात का कोई ध्यान नहीं था कि मेरे कहने पर ऐसा क्या हुआ जो अभी भी खत्म हो गया है।	0
यह न केवल आपके खिलाड़ी को सूखा देगा, बल्कि संभावित रूप से इसे भून भी सकता है।	0
यह उन सबसे खराब फिल्मों में से एक थी जिन्हें मैंने कभी देखा है।	0
जगह काफी साफ थी लेकिन खाने के लायक नहीं थी।	0
यह जगह फीनिक्स मेट्रो क्षेत्र में खाने के लिए सबसे अच्छी जगहों में से एक है।	1
मुझे हाल ही में समस्याएं हुईं जहां मैं डिस्कनेक्ट होने से पहले 10 मिनट से अधिक समय तक जुड़ा नहीं रह सका।	0
वापस नहीं होगा!	0
यह देख ओमित।	0
सेवा ख़राब थी और अच्छी थी।	0
शो एक दूसरे के लिए स्मार्ट गधा एड टिप्पणियों के साथ शुरू होगा जो पूरी तरह से दीवार से दूर होगा और इसके लिए अनसाल्ट किया जाएगा।	0
परिणाम एक बिजलीघर की उपलब्धि है, जो अब हमारी संस्कृति के सेलिब्रिटी के साथ परेशान मोह के कारण और अधिक सामयिक है, और यह प्रसिद्धि की विकृत व्याख्या है।	1
उत्कृष्ट वॉलेट प्रकार फोन केस।	1
मेरेडिथ एम सब से बेहतर था।	1
डेमियन स्क्रीन पर विभिन्न वर्णों को लिखने और चित्रित करने के इतने तरीकों में बहुत प्रतिभाशाली और बहुमुखी है।	1
यह अधिकांश हेडसेट्स की तुलना में अधिक आरामदायक लगता है क्योंकि मैं चश्मा पहनता हूं और यह कभी-कभी रास्ते में हो जाता है।	1
वे वास्तव में आपके अनुभव को एक अच्छा बनाना चाहते हैं।	1
मैं निश्चित रूप से पंखों के साथ-साथ पिज्जा की भी सिफारिश करूंगा।	1
मेरा प्रेमी और मैं बार में बैठे थे और पूरी तरह से आनंदमय अनुभव था।	1
मैं पैराडाइज वैली में हॉस्पिटैलिटी इंडस्ट्री में काम करता हूं और किसी भी तरह से सिबो की सिफारिश करने से बचता हूं।	0
ड्यूरिस में एक शानदार उपस्थिति है और एक अच्छा प्रदर्शन देता है।	1
वे वर्षों से आसपास हैं और एंटी-ग्लेयर स्क्रीन रक्षक की उच्चतम गुणवत्ता का वहन करते हैं जो मैंने आज तक पाया है।	1
वह फिल्म के मालिक हैं, जैसे कि स्पेसक के पास &quot;कोल माइनर डॉटर&quot; और क्विड के पास &quot;ग्रेट बॉल्स ऑफ फायर&quot; का स्वामित्व है।	1
(यह व्यस्त भी नहीं था) इसके अलावा, इमारत ठंडी ठंडी थी।	0
यह ज्यादातर रुटीन फैक्ट-बेस्ड टीवी ड्रामा को कोल के उम्दा प्रदर्शन से बढ़ावा मिलता है।	1
रसोई काउंटर से लगभग 6 इंच ऊपर से एक बूंद ली गई और उसे फोड़ दिया गया। मैं प्रभावित नहीं हूं और मैं हंस नहीं रहा हूं।	0
वास्तव में, मुझे यह इंटरव्यू विथ अ वैम्पायर की तुलना में बेहतर लगा और मुझे यह लेसेट (स्टुअर्ट टाउनसेंड) क्रूज़ के प्रयास से बेहतर लगा।	1
निराश !.	0
बागान सबसे खराब थे जिन्हें मैंने कभी चखा है।	0
वह निश्चित रूप से नहीं जानता कि वायु सेना एक के पटकथा लेखक से एक सुसंगत एक्शन फिल्म कैसे बनाई जाए जो केवल एक बड़ी राशि के लिए स्क्रिप्ट लिखने के लिए बाध्य थी।	0
गर्म व्यंजन गर्म नहीं होते हैं, ठंडे व्यंजन रूम टेंप के करीब होते हैं। मैंने देखा कि कर्मचारी BARE HANDS के साथ भोजन तैयार करते हैं, कोई दस्ताने नहीं। कोई भी चीज़ तेल में डीप फ्राई नहीं की जाती है।	0
यह केवल फोन को अपने स्टोरेज डिवाइस के रूप में पहचानता है।	0
हाल ही में वे फोन पर बहुत अच्छे और सहायक रहे हैं।	1
जितना मैं वापस जाना चाहूंगा, मैं अत्याचारी सेवा को प्राप्त नहीं कर सकता और कभी वापस नहीं लौटूंगा।	0
अरे हाँ, और कहानी भी दयनीय थी।	0
टेक्सास में अच्छा नहीं, धूप का चश्मा के साथ इकाई का उपयोग नहीं कर सका!	0
आज ग्राफिक्स बकवास है।	0
प्रत्येक ट्रैक भावनाओं को नियंत्रित करता है, वास्तव में दृश्यों और पात्रों में योगदान देता है।	1
यह लंबे समय तक एक चार्ज रखता है, लंबे समय तक पहनने की स्थिति के तहत यथोचित आरामदायक है और ध्वनि की गुणवत्ता जबरदस्त है।	1
यह श्रृंखला में नंबर एक सर्वश्रेष्ठ टीएच गेम है।	1
हम काफी तेजी से बैठे, लेकिन, हमारे आदेश को लागू करने के लिए 40 मिनट इंतजार कर रहे थे, भोजन आने से 30 मिनट पहले।	0
इस फोन को प्यार करो।	1
पहली बार वहाँ और बस आखिरी हो सकता है।	0
दूर रहो क्यू से!।	0
लैंग एक बेहतरीन अभिनेत्री बन चुकी थीं।	1
अगर आपको ईयरबग्स से नफरत है, तो हर तरह से इस फोन से बचें।	0
अच्छा खाना, अच्छी सेवा।	1
बस सुंदर।	1
यह मांडले खाड़ी का एक बेहतरीन रेस्तरां है।	1
ग्रेट यह नया अच्छा काम किया गया था अच्छा काम करता है, कोई समस्या नहीं है और यह कम समय में आया तो मुझे उम्मीद थी !!!!	1
सबसे अच्छा नाश्ता बुफे !!!	1
यह कहानियां अभिनेताओं की तरह अविश्वसनीय थीं।	0
वैचारिक रूप से, यह शो हर चीज के लिए थोड़ा-बहुत प्रदान करता है- और हर किसी के बारे में (माता-पिता, बच्चे, कल्पना और / या एफएक्स प्रशंसकों के लिए)।	1
सभी लोगों के पास स्टेक था, और हमारा स्टेक प्यार करने वाला बेटा, जिसने सबसे अच्छी और बुरी जगहों पर स्टेक किया है, उसने कहा कि यह सबसे अच्छा स्टेक है जिसे उसने कभी खाया है।	1
$ 50 नाली नीचे।	0
मैं इसे रोज पहनता हूं और यह बहुत अच्छा है।	1
यह फ्रीवे की गति से चलती कार में अनुपयोगी है।	0
एक साल के बाद बैटरी मेरे हेडसेट पर पूरी तरह से मृत हो गई।	0
हास्य पर प्रयास दयनीय थे और कहानी इतनी भयानक है कि यह सोचकर सहन नहीं होता है जिसमें मूल रूप से एक वालकैन शामिल है जो भगवान को खोजने के लिए उद्यम चोरी करता है (गंभीरता से) मैं सिर्फ इस फिल्म के बारे में कोई परवाह नहीं करता था और ओह उहुरा का उल्लेख नहीं करता है एक पेट नृत्य पुरुष रक्षकों को विचलित करने के लिए।	0
वापस नहीं जाएंगे।	0
एक शानदार मोड़ समाप्त हो रहा है।	1
अंतरिक्ष में सीजी खोलने का क्रम ऐसा लग रहा था कि इसे भगवान के लिए Microsoft स्लाइड शो पर बनाया जा सकता है!	0
यह बहुत घटिया था!।	0
अपना पैसा और समय किसी और जगह खर्च करें।	0
अच्छा ठोस कीबोर्ड।	1
आवाज की पहचान जबरदस्त है!	1
जब भी हम फिर से शहर में होते हैं तो इस अद्भुत अनुभव ने इस जगह को अवश्य ही रोक दिया है।	1
यह लघु फिल्म निश्चित रूप से कोई छिद्र नहीं खींचती है।	0
उत्पाद उत्कृष्ट था और वर्जन एक से बेहतर काम करता था और बॉय यह सस्ता था!	1
मैंने अपनी प्रेमिका को यह देखने के लिए बोला - बुरा विचार है, हम दोनों इससे नफरत करते थे।	0
अगर आप कर सकते हैं दोनों फिल्में देखें।	1
मैं उन्हें एक कोशिश देने के लिए झूल गया लेकिन गहरी निराशा हुई।	0
इस उत्पाद में एक मजबूत रबर / पेट्रोलियम गंध था जो थोड़ी देर के बाद असहनीय हो गया था और इसके कारण मुझे इसे वापस करना पड़ा	0
यह घुसपैठ है।	0
लेकिन यहां तक कि प्रतिभाशाली कैरेल इसे बचा नहीं सकते हैं।	0
महान उत्पाद।	1
) एक सुखद, अद्भुत, अच्छा अंत महसूस करो!	1
पीले रंग का कार्पाशियो आपके मुंह में ताजा हो गया था।	1
(यह काम करता हैं!)	1
ग्रेट पोर्क सैंडविच।	1
लिंडा कार्डेलिनी इस फिल्म में एकमात्र अच्छी बात है।	1
कई अलग-अलग 2 मिनट की कॉल के दौरान, मुझे 5 बूंदों का अनुभव हुआ और यह एक ऐसे क्षेत्र में था जिसमें 5 बार थे।	0
नए प्रदर्शन को पसंद करने के लिए मेरे फोन को पुनर्स्थापित किया।	1
इस फिल्म में कोई नया प्रदर्शन नहीं है।	0
उपयोगकर्ता के अनुकूल नहीं है।	0
वॉल्यूम की परेशानी।	0
उदार भागों और महान स्वाद।	1
इसके अलावा, यह अच्छी तरह से चित्रित किया गया था और इसके अपेक्षाकृत कम समय के लिए अनुकूल था।	1
मैं फिल्म को खत्म करने का एक बेहतर तरीका नहीं सोच सकता था, लेकिन मेरे चेहरे पर एक मुस्कान, एक अद्भुत फिल्म और त्रयी को लपेटने का शानदार तरीका!	1
शानदार नेटवर्क पर शानदार फोन।	1
केवल एक ही सस्पेंस मुझे महसूस हो रहा था कि लड़कियों को कितना मंदबुद्धि समझा जाता है।	0
जो चिप्स निकले, वे ग्रीस से टपक रहे थे, और ज्यादातर खाद्य नहीं थे।	0
मैं इस जगह की सिफारिश नहीं करूंगा।	0
फिल्म का संवाद स्वाभाविक है, जीवन के लिए वास्तविक है।	1
खाना जल्दी पहुंच गया!	1
कर्मचारी अनुकूल है और संयुक्त हमेशा साफ है।	1
दोनों फिल्में बहुत ही भयानक हैं, लेकिन 1986 के संस्करण के श्रेय के लिए यह बहुत ही कम था।	0
यह एक आश्चर्यजनक फिल्म है।	1
अलेक्जेंडर नेवस्की एक बेहतरीन फिल्म है।	1
यह एक शानदार फोन है!।	1
आप उन्हें स्वादिष्ट भोजन तैयार करते हुए देख सकते हैं! &quot;	1
और शेफ अपने समय के साथ उदार था (यहां तक कि दो बार के आसपास आया था ताकि हम उसके साथ तस्वीरें ले सकें)।	1
हम वापस नहीं आएंगे।	0
मैं इसे वापस करना चाहूंगा।	0
निश्चित रूप से देखने लायक ... यह एक तरह से सोची-समझी फिल्म है जो आपको अकेलेपन की अपनी दहलीज पर सवाल उठाने पर मजबूर करती है।	1
पूरी तरह से विश्वसनीय।	1
बस के रूप में अच्छा है जब मैं इसे एक साल पहले की तुलना में अधिक था!	1
इसलिए मैंने मूल रूप से कुछ नहीं के लिए अपना पैसा खिड़की से बाहर फेंक दिया।	0
यह बहुत अनुमानित था, यहां तक कि एक चिक फ्लिक के लिए भी।	0
वास्तव में देखने लायक एकमात्र चीज़ दृश्य और घर थी, क्योंकि यह सुंदर है।	1
यह हमेशा के लिए हमें चेक लाने के लिए ले गया जब हमने इसके लिए कहा।	0
मैं किसी को भी इसे देखने और जाने की सलाह दूंगा।	1
माइक में एक मजाक है, और वॉल्यूम काफी कम है।	0
यह अनिवार्य रूप से एक संचार उपकरण है जो संवाद नहीं करता है।	0
यह एकमात्र खराब फिल्म हो सकती है जिसे उन्होंने कभी बनाया था।	0
मैं कुछ स्थानों पर कॉल नहीं कर सकता।	0
अद्यतन प्रक्रिया कठिन और बोझिल है।	0
यह नहीं है कि यह क्या कहता है।	0
केवल एक चीज जो मुझे निराश करती है, वह है इंफ्रा रेड पोर्ट (इरडा)।	0
मुझे बहुत खेद है, लेकिन मैं वास्तव में किसी को भी इसकी सिफारिश नहीं कर सकता।	0
यह उपयोग करने के लिए एक साधारण सा फोन है, लेकिन टूटना अस्वीकार्य है।	0
मेरे प्रेमी ने भूमध्य चिकन सलाद की कोशिश की और प्यार हो गया।	1
मैं इसे एक iriver SPINN (केस के साथ) के साथ उपयोग कर रहा हूं और यह ठीक बैठता है।	1
आप कभी नहीं जानते हैं कि आपने इसे पर्याप्त रूप से या जिस फ़ंक्शन को आप चाहते हैं उसके लिए सही या पर्याप्त संख्या में धक्का दिया।	0
जल्लापनो बेकन सू सू है।	1
उन्हें कुछ स्वादिष्ट भोजन और शीघ्र, मैत्रीपूर्ण सेवा का अनुभव करने के लिए हवाई अड्डे में प्रयास करें।	1
क्या किसी फिल्म के लिए इससे बुरा होना संभव है?	0
फिल्म पूरी तरह से सही नहीं है, लेकिन फिल्म की दृष्टि के बाद &#39;टिट्टा डि जिरोलमो&#39; लंबे समय तक आपके साथ रहेगा।	1
यह मेरा पहला रेंगफिश का अनुभव था, और यह स्वादिष्ट था!	1
यह उपयोग करने के लिए सरल है और मुझे यह पसंद है।	1
दोपहर के भोजन के लिए यहां जाने की कोशिश की और यह एक पागलखाना था।	0
सबसे खराब मार्टिनी कभी!	0
कीमत के लिए उत्कृष्ट उत्पाद।	1
मैं इस मामूली कीमत वाले सेलुलर फोन की अत्यधिक अनुशंसा करता हूं।	1
इसके अलावा, एंथनी क्विन को क्रेजी हॉर्स खेलते देखना एक वास्तविक उपचार है।	1
घर या काम के लिए अच्छा डॉकिंग स्टेशन।	1
फिल्म काले कलाकारों के सदस्यों के प्रति नस्लीय ढलानों से अटी पड़ी है और बदले में गोरों को मोरों और स्तन के रूप में दर्शाया गया है।	0
मेरा वास्तव में मतलब है, आप अपनी मछलियों और चिप्स के लिए इतने प्रसिद्ध कैसे हो गए जब यह इतना भयानक है!	0
क्या नहीं खरीदें क्या नहीं खरीदें SUCKS	0
लेकिन अभिनय - यहां तक कि Drago और डेबी Rochon जैसे पेशेवरों के लिए - भयानक था, निर्देशन बदतर (शायद पूर्व में योगदानकर्ता), संवाद चिम्प-जैसा, और कैमरा काम, मुश्किल से सहनीय।	0
लेखन कितना गूंगा है इसका सबसे अच्छा उदाहरण जब यह स्थापित हो जाता है कि आप उल्कापिंड के एक टुकड़े से एक हार को हटाकर ज़ोंबी-छात्रों को वापस मनुष्यों में बदल सकते हैं।	0
दृश्य प्रभाव AWFUL थे।	0
जब मैं घर पर होता हूं, तो मेरे सेल फोन पर 2-3 बार होते हैं, लेकिन आप कुछ भी नहीं सुन सकते।	0
स्वागत उत्कृष्ट है!	1
मुझे लगता है कि यह रॉबर्ट रियांस की सबसे अच्छी फिल्म थी, क्योंकि उन्होंने मेरे पिता की तरह किसी को चित्रित किया था, और वह वास्तविक जीवन में एक सिज़ोफ्रेनिक थे, (मेरे पिता) हालांकि उन्होंने कभी किसी की हत्या नहीं की, लेकिन दूसरे विश्व युद्ध के दौरान इससे अधिक प्रभावित हुए जिससे उनकी स्थिति और खराब हो गई।	1
बैटरी भयानक है।	0
वर्णनों ने कहा &quot;यम यम सॉस&quot; और दूसरे ने कहा &quot;ईल सॉस&quot;, फिर भी एक और ने कहा &quot;मसालेदार मेयो&quot; ... अच्छी तरह से रोल के किसी ने उन पर सॉस नहीं किया था।	0
बेट्टी सफेद और जीन स्मार्ट जोड़ें और आपके पास एक महान कलाकार है - सभी ने अपने हिस्सों को वास्तव में अच्छी तरह से खेला।	1
हर कीमत पर बचें!	0
इस उत्पाद को न खरीदें।	0
मेरे पति ने कहा कि वह बहुत असभ्य था ... उसने खराब भोजन या किसी भी चीज के लिए माफी नहीं मांगी।	0
जैसा कि आप इस कलाकार से उम्मीद करेंगे, वह शीर्ष पायदान पर है।	1
मूल आधार बर्बाद हो गया है क्योंकि यह दस्तावेजी चालक दल पर अकथनीय फोकस द्वारा दरकिनार कर दिया गया है।	0
कहानी बेवकूफी से परे है।	0
रिंगर के लिए वॉल्यूम वास्तविक अच्छा है (आपके पास विकल्प बहुत ज़ोर से हैं)।	1
सबसे बुरा हाल सैल्मन साशिमी का था।	0
यदि आप मृत्यु और क्षय को प्यार करते हैं, और शेक्सपियर के बोल ... यह एक है।	1
फिर भी महान गुरु की स्थिर से एक और अद्भुत फिल्म।	1
मेरे जैसी गलती मत करना।	0
