Sentence	Label
Este dispositivo es excelente en varias situaciones: 1.)	1
El micrófono no funciona.	0
Incluso en mi BMW 3 series, que es bastante silencioso, tengo problemas para escuchar lo que dice la otra persona.	0
¡Gran elección!	1
Bonita estación de acoplamiento para el hogar o el trabajo.	1
Este es un hermoso teléfono.	1
Amo este producto.	1
No compre para D807 ... anunciado incorrectamente para D807.	0
Este es un gran artículo pequeño.	1
Me encanta este teléfono, es muy útil y tiene muchas funciones.	1
¡Compré esto y en 2 días ya no funcionaba!	0
Lo uso todos los días y se sostiene muy bien.	1
No es una buena ganga.	0
Bien embalado, llegó a tiempo y funciona según lo previsto.	1
La batería se agota rápidamente.	0
Este artículo funcionó muy bien, pero se rompió después de 6 meses de uso.	0
Los auriculares son fáciles de usar y todos los aman.	1
Este teléfono funciona muy bien.	1
La construcción de los auriculares es pobre.	0
¡El producto fue excelente y funciona mejor que el de Verizon y Boy fue más barato!	1
El teléfono se carga super!	1
Para un producto que cuesta tanto como este, espero que funcione mucho mejor y con mayor facilidad que esto.	0
Hecho muy resistente.	1
¡Funcionó genial!	1
Los auriculares solo reproducen música en un oído.	0
No malgastes tu dinero ...	0
Ordenará de ellos otra vez!	1
Si planeas usar esto en un automóvil, olvídalo.	0
Encontré este producto muy grande.	0
Lo mejor que he encontrado hasta ahora ... He probado otros 2 bluetooths y este tiene la mejor calidad (tanto para mí como para el oyente), así como facilidad de uso.	1
Estoy muy decepcionado con mi decisión.	0
Integrado a la perfección con el teléfono Motorola RAZR.	1
Comprador, tenga cuidado, podría tirar dinero directamente al inodoro.	0
Definitivamente una ganga.	1
El precio fue muy bueno y con el envío gratis y todo fue una buena compra.	1
Recibí mi supuestamente nuevo motorola 375 y aparentemente no había coincidencia entre el teléfono y el cargador.	0
Pros: -Buena cámara: muy buenas fotos, también tiene estilos geniales como blanco y negro, y más.	1
Ese es un gran defecto de diseño (a menos que no lo esté usando correctamente, lo cual no creo que sea el caso).	0
Me encantan mis auriculares 350. Mis auriculares bluetooth Jabra350 son geniales, la recepción es muy buena y el auricular es cómodo.	1
La cámara, aunque está clasificada en 1.3 megapíxeles impresionantes, genera imágenes que están muy por debajo de las expectativas de una resolución tan alta.	0
Compré esto para el cargador del coche y no funciona.	0
¡La calidad de sonido en ambos extremos es excelente, uso auriculares para llamar a mi esposa y le pido a mi esposa que use auriculares para llamarme! 2.	1
Este teléfono es delgado y ligero y la pantalla es hermosa.	1
es un poco geek, pero creo que ese es su sexo en tostadas y mece y rezuma el sexo hasta su elegante funda de cuero con batería incorporada.	1
Gran producto, envío rápido!	1
Absolutamente genial.	1
El teclado es un buen compromiso entre un QWERTY completo y el teclado numérico básico del teléfono celular.	1
Tengo este teléfono a fines de mayo y estoy completamente descontento con él.	0
Es muy cómodo en la oreja.	1
Ha sido un ganador para nosotros.	1
) La configuración no podría haber sido más simple.	1
He probado varios auriculares diferentes para mi teléfono celular y este Jabra es el primero que he encontrado que se adapta cómodamente a mi oído.	1
No se pudo obtener una señal lo suficientemente fuerte.	0
Estoy muy satisfecho con mi compra.	1
Mala calidad.	0
Hace el trabajo.	1
Gran audio!	1
Básicamente el servicio fue muy malo.	0
no funcionó en el enchufe de mi teléfono celular, ¡estoy muy preparado con el cargador!	0
Solo he tenido mi bluetooth durante algunas semanas, pero realmente me gusta.	1
El auricular BT fue una decepción.	0
Es tan pequeño y ni siquiera te das cuenta de que está allí después de un tiempo de acostumbrarte.	1
El software acompañado es casi brillante.	1
El auricular funciona muy bien y se empaquetó muy bien para evitar daños.	1
¡Definitivamente lo recomiendo!	1
¡Comprador - tenga mucho cuidado!	0
La mayoría de los auriculares con micrófono Logitech fallaron.	0
Muy buenas cosas por el precio.	1
Mi auricular funciona con mucho gusto.	1
En mi casa recibí una bajada de cobertura arriba y ninguna cobertura en mi sótano.	0
¡El reconocimiento de voz es tremendo!	1
Que desperdicio.	0
Durante varias llamadas diferentes de 2 minutos, experimenté 5 caídas y estaba en un área que tenía 5 barras.	0
No estaba contento con este artículo.	0
muy decepcionado.	0
El teléfono tarda SIEMPRE en cargarse como 2 a 5 horas literalmente.	0
Recibí este teléfono por recomendación de un pariente y me alegro de haberlo hecho.	1
¡Que perdida de tiempo!	0
Su recepción es muy muy pobre.	0
Los artículos indicados como incluidos en la descripción NO ESTÁN INCLUIDOS.	0
Después de 3 meses, la pantalla se volvió negra de repente.	0
Me esperaba más.	0
La calidad de audio es pobre, muy pobre.	0
¡No tuve absolutamente ningún problema con este auricular conectado a mi Blackberry Curve 8530!	1
Sé que suena gracioso, pero a mí me pareció una tecnología incompleta que no funcionaría bien. Bueno, esta funciona muy bien.	1
Compré auriculares con cable de $ 5 que suenan mejor que estos.	0
Este teléfono es muy rápido con el envío de cualquier tipo de mensajes y la navegación web es significativamente más rápida que los teléfonos anteriores que he usado.	1
Buena calidad de construcción, a diferencia de algunos s *** baratos por ahí.	1
¡Este artículo es fantástico y funciona perfectamente!	1
¡Y me encantan los colores!	1
W810i es simplemente EXCELENTE.	1
Todo lo que puedo hacer es quejarme en Internet, así que aquí va. Cuanto más uso la cosa, menos me gusta.	0
Gran cargador	1
Esta es esencialmente una herramienta de comunicación que no se comunica.	0
Funciona de maravilla; Funciona igual que el que obtuve con el teléfono.	1
Sigo manteniendo que los monos no deberían fabricar auriculares, simplemente no compartimos suficiente ADN para copiar el diseño a los humanos.	0
Gran valor.	1
No funciona en absoluto ... Lo compré para mi L7c y no funciona.	0
Su aspecto es muy nítido y la pantalla es bonita y clara, con excelentes gráficos.	1
no dura mucho	0
Una cosa que odio es el botón de configuración del modo al costado.	0
¡¡¡¡¡¡¡¡EXCELENTE SERVICIO!!!!!!!!.	1
Gracias por malgastar mi dinero.	0
¿Cómo puede ser eso? La calidad de audio es pobre.	0
Los cargadores y consejos de iGo son realmente geniales.	1
El explorador de archivos ofrece todas las opciones que uno necesita. Manos libres es excelente.	1
Excelente teléfono en una gran red.	1
Conecté el bluetooth de mi esposa (Motorola HS850) a mi teléfono y funcionó de maravilla si el teléfono estaba en mi bolsillo o en el estuche.	1
Le puse el último sistema operativo (v1.15g), y ahora le gusta ralentizar y bloquear de vez en cuando.	0
Solo reconoce el teléfono como su dispositivo de almacenamiento.	0
Si te gusta un zumbido fuerte para anular todas tus conversaciones, ¡entonces este teléfono es para ti!	0
No compres este producto.	0
He tenido este auricular bluetoooth durante algún tiempo y todavía no me siento cómodo con la forma en que se adapta al oído.	0
La calidad del sonido es buena y la funcionalidad es impresionante.	1
Tengo este teléfono y es una espina en mi costado, realmente lo aborrezco.	0
Recientemente tuve problemas en los que no pude permanecer conectado durante más de 10 minutos antes de desconectarme.	0
¡Increíble!.	1
¿Falla de diseño?.	0
Gran teléfono!	1
Desperdicio de 13 dólares.	0
Pero cuando reviso el correo de voz por la noche, la luz de fondo del teclado se apaga unos segundos en el primer mensaje, y luego me pierdo.	0
El reemplazo murió en unas pocas semanas.	0
Cualquier tono de llamada ... En general, un buen teléfono para comprar ...	1
Últimamente han sido extremadamente amables y serviciales por teléfono.	1
He tenido problemas con la señal de caída y más.	0
No me impresionó.	0
Peso ligero, apenas me doy cuenta de que está allí.	1
Te encantará lo delgado que es.	1
Mala elección.	0
El estuche de cuero no encaja.	0
teléfono inútil, simplemente sordo.	0
El color es aún más bonito de lo que pensé que sería, y los gráficos son increíblemente nítidos.	1
En general, creo que fue una buena inversión.	1
Hace ruidos de tic muy extraños antes de que finalice la llamada.	0
La mejor electrónica de los transmisores FM disponibles.	1
La batería dura solo unas pocas horas.	0
excelente auricular, muy impresionado - H500.	1
La cámara de megapíxeles &quot;1.2&quot;, que forma parte de un teléfono, es razonablemente buena7.	1
He tenido esto durante casi 2 años y me ha funcionado muy bien.	1
Buena transmisión de audio.	1
Lo estamos enviando de vuelta.	0
No me molesté en contactar a la compañía por un producto de pocos dólares, pero aprendí la lección de que de todos modos no debería haber comprado este formulario en línea.	0
Si odias los audífonos, evita este teléfono por todos los medios.	0
Gran precio también!	1
El alcance es muy decente, he podido recorrer mi casa con el teléfono en la sala de estar sin problemas de recepción / calidad de sonido.	1
servicio rápido.	1
Lo recomendaría mucho	1
Yo recomendaría esto	1
Tampoco me gustó el botón &quot;encendido&quot;, parecía que se rompería con el uso.	0
EL PEOR TELÉFONO NUNCA.	0
Todavía estoy enamorado de este teléfono.	1
Se congela con frecuencia 4.	0
Es un poco vergonzoso usarlo por su aspecto y, sobre todo, es vergonzoso lo infantil que es la compañía.	0
Sencillo, ligero y de gran ajuste.	1
En general, esperaba una mejor experiencia del consumidor de Motorola.	0
Hay un horrible sonido de fondo en todas mis llamadas que nunca antes había experimentado.	0
Estos son ciertamente muy cómodos y la funcionalidad es decente.	1
Por lo general, no me gustan las cintas para la cabeza, pero esta es muy ligera y no me desordena el cabello.	1
Estoy un poco decepcionado	0
He tenido este teléfono durante más de un año, y les diré que no es tan bueno.	0
Pedí esto para Sony Ericsson W810i pero creo que solo funcionó una vez (eso fue cuando lo usé por primera vez).	0
La batería es completamente inútil para mí.	0
Qué gran pérdida de tiempo.	0
No malgastes tu $$$ en este.	0
Gran sonido y servicio.	1
Realmente satisfecho con este producto hasta ahora.	1
Una de mis compras favoritas.	1
El mejor bluetooth del mercado.	1
Cuero auténtico con buen brillo y comodidad. ¡Te recomiendo este estuche!	1
Estaba muy emocionado de tener este auricular porque pensé que era realmente lindo.	1
No cometas el mismo error que yo.	0
Gran decepción con sincronización de calendario.	0
el teléfono estaba inutilizable y no era nuevo.	0
El peor servicio al cliente de todos.	0
No se proporcionan geles adicionales para los oídos ni instrucciones de ningún tipo.	0
Derrota el propósito de un auricular bluetooth.	0
Vale cada centavo.	1
Excelente funda para teléfono tipo billetera.	1
¡Buenos auriculares por el precio y funcionan muy bien!	1
Internet es terriblemente lento.	0
También es muy cómodo de usar, que es probablemente el aspecto más importante sobre el uso de un estuche.	1
Se ajusta como un guante y es fuerte, seguro y duradero.	1
Oh, Dios mío, el mejor teléfono que he tenido.	1
Es muy atractivo y parece ser de buena calidad.	1
Me encantan todas las características y el factor de forma.	1
Este producto tenía un fuerte olor a goma / petróleo que era insoportable después de un tiempo y me hizo devolverlo	0
Mala calidad y servicio.	0
El cable se ve tan delgado y endeble que da miedo.	0
Gran auricular.	1
Excelente herramienta manos libres.	1
Ideal para usar con el estéreo de tu hogar.	1
Buen producto - valor increíble.	1
Solo tuve esto un mes, pero hasta ahora ha funcionado perfectamente.	1
Funciona genial.	1
Absolutel basura.	0
ESO tampoco funcionó.	0
La duración de la batería es realmente buena.	1
Regresó 8 horas después.	0
Es un gran artículo.	1
¡No malgastes tu dinero !.	0
Me encanta este auricular!	1
No solo agotará su reproductor, sino que también podría freírlo.	0
Funcionó perfectamente!	1
No confiable: me estoy rindiendo.	0
Le di 5 estrellas por la calidad del sonido.	1
Evita este si puedes.	0
El enchufe reversible funciona muy bien.	1
Perdí mi poco dinero con este auricular.	0
Muy buen telefono.	1
Lo mejor de todo es la función giratoria, muy útil.	1
Comodidad para toda nuestra familia.	1
Buen producto, buen vendedor.	1
¡Amo este bluetooth!	1
En primer lugar, no se desgasta bien.	0
Estoy muy impresionado con este auricular de Plantronics.	1
Lo entendí porque era muy pequeño y adorable.	1
Gran teléfono!	1
No recomendaría comprar este producto.	0
Pedazo de basura.	0
Bisagra mal construida.	0
Este artículo es excelente, lo instalé, lo dejé cargar durante toda la noche y ha estado funcionando bien desde entonces sin problemas	1
Gran teléfono.	1
No lo compres.	0
Excelente telefono.	1
NO COMPRE ESTE TELÉFONO.	0
El reconocimiento de voz a través del auricular es excelente.	1
Este es sin duda el mejor teléfono que he tenido.	1
Funciona muy bien, cuando mi gato atacó el teléfono rascó la tira protectora en lugar de destruir la pantalla.	1
Este funciona y tenía un precio justo.	1
El servicio al cliente fue terrible.	0
La duración de la batería aún no es suficiente en Motorola Razor V3i.	0
Enviando de nuevo.	0
Ahora sé que tomé una sabia decisión.	1
Alguien debería haber inventado esto antes.	1
Buen precio.	1
Todo funcionó en el primer intento. El dispositivo fue diseñado de una manera inteligente y la construcción se siente bien.	1
¡Lo recibí rápidamente y funciona muy bien!	1
Ha estado trabajando muy bien.	1
Como mucha gente se quejó, encontré que el micrófono de este auricular era muy débil.	0
Mi Nokia 2160 de 5 años de Tracfone tiene la carga mucho mejor que esto.	0
No les importa nada el consumidor.	0
Esta es una buena batería, y llegó aquí muy rápido.	1
Falta el manual de instrucciones.	0
También es lo suficientemente delgado como para caber en la estación de acoplamiento de mi despertador sin quitar la funda.	1
El teléfono ahora tiene carga como lo hacía cuando era nuevo.	1
La batería no es confiable y el servicio utiliza antena.	0
Es incómodo y la calidad del sonido es bastante pobre en comparación con el teléfono (Razr) o con mis auriculares con cable anteriores (que se enchufaron a un LG).	0
Hemos recibido muchos cumplidos al respecto.	1
Esto es definitivamente imprescindible si su estado no permite el uso del teléfono celular mientras conduce.	1
Quiero mi dinero de vuelta.	0
Amo este dispositivo	1
También estoy muy contento con el precio.	1
Primero pedí este producto y no me gustó de inmediato.	0
El Ngage todavía carece de auriculares.	0
Pude hacer marcación por voz en el automóvil sin ningún problema.	1
Tengo 2-3 barras en mi teléfono celular cuando estoy en casa, pero no puedes escuchar nada.	0
Buen artículo, bajo precio.	1
Sin embargo, los riingtones no son los mejores, y tampoco lo son los juegos.	0
El enchufe no funcionó muy bien.	0
La Amazonía apesta.	0
Estafa ---- Sobrecarga de envío.	0
Muy cómodo.	1
La batería funciona bien como reemplazo del original que vino con el teléfono hace más de 2 años.	1
La recepción es excelente!	1
Se adapta cómodamente a cualquier oído, el sonido es claro y fuerte, y la carga dura un par de días.	1
sonido muy claro y de calidad y no tiene que meterse con el sonido en su iPod ya que tiene los botones de sonido en el auricular.	1
1. batería de larga duración (no es necesario recargarla con tanta frecuencia como algunos de los teléfonos con tapa) 2.	0
Obviamente hay un problema con el adhesivo.	0
Muy decepcionante.	0
Era una pieza económica, pero aún esperaba una mejor calidad.	0
Es prácticamente inútil y no agregó ningún tipo de impulso a mi recepción después de comprarlo.	0
Excelente calidad de sonido.	1
No estaba contento.	0
¡UNA PIEZA DE BASURA QUE SE ROMPE DESPUÉS DE ESTAR EN MI TELÉFONO DURANTE 2 DÍAS!	0
Nueva batería funciona muy bien en el teléfono.	1
El peor servicio al cliente.	0
He dejado caer mi teléfono más veces de las que puedo decir, incluso en concreto y mi teléfono sigue siendo excelente (¡toco madera!).	1
La recepción es terrible y llena de estática.	0
Buena calidad de audio	1
Este pequeño dispositivo ha transformado mi capacidad de organización y ha hecho que mi vida sea mucho más fácil.	1
Estaba sentado en mi vehículo, con la cuna en el cinturón y el auricular perdió la señal.	0
Estaban JERKS en el teléfono.	0
Funciona como un encanto ... Funciona como se anuncia.	1
Cómodo, buen rango, buena duración de la batería.	1
Su cobertura de red en Los Ángeles es horrible.	0
Excelente auricular inalámbrico de arranque.	0
La opción de altavoz es excelente, los parachoques con luces son muy ... atractivos.	0
Lo único que creo que podría mejorar es el sonido que sale del auricular.	0
En primer lugar, la recepción apesta, nunca he tenido más de 2 bares, nunca.	0
¡El teléfono se CALIENTA EXTREMADAMENTE!	0
El micrófono también funciona bien, pero (según la gente a la que llamé) lo aplica todo.	1
Bonito diseño y calidad.	1
Además, si su teléfono se cae, este estuche no lo va a guardar, especialmente cuando se deja caer boca abajo.	0
Es ligero, fácil de usar y tiene una recepción y transmisión muy claras.	1
mal ajuste, demasiado grande.	0
Definitivamente no fue tan bueno como mi S11.	1
Impresionante dispositivo.	1
Perdida de dinero.	0
Había pedido un cable de datos de Motorola, obtuve un producto muy bien acabado y funcional.	1
Amo este teléfono.	1
Estuve buscando este auricular durante mucho tiempo y ahora que lo tengo no podría estar más feliz.	1
Voy a seguir conduciendo, y mi auricular comienza a sonar sin ninguna razón.	0
La pantalla es excelente y la cámara es tan buena como cualquiera de ese año.	1
¡La duración de la batería también es excelente!	1
El peor teléfono que he tenido ... Solo lo tuve durante unos meses.	0
No es un buen artículo. Funcionó por un tiempo y luego comenzó a tener problemas en mi reproductor de cintas de reversa automática.	0
Esto es muy vergonzoso y también me duelen los oídos si trato de presionar el tapón en mi oído.	0
Protege el teléfono por todos lados.	1
Este es un teléfono MUY promedio con una batería de poca duración que funciona en una red débil.	0
Llamadas claras de Skype, batería de larga duración, largo alcance.	1
La tecnología de Soyo apesta.	0
Gran dispositivo de manos libres.	1
Incluso puede tomar autorretratos con la pantalla exterior (exterior), muy genial.	1
El mismo problema que otros han mencionado.	0
Después de probar muchos dispositivos manos libres, este es el que finalmente funciona bien.	1
Ayuda Mágica	1
La peor basura con el servicio al cliente de Verizon.	0
Mala calidad de sonido.	0
El mejor teléfono del mercado :).	1
Funcionó muy bien.	1
La compañía envió mi producto muy rápidamente y funciona bien.	1
Exactamente lo que quería.	1
La resolución de la imagen está muy por debajo de lo que ofrecen hoy otros teléfonos con precios comparables.	0
Esta es una gran cosa.	1
Excelente producto, estoy muy satisfecho con la compra.	1
Recomiendo encarecidamente estos y aliento a las personas a probarlos.	1
Mejor de lo que esperabas.	1
Usando todos los auriculares, izquierdo o derecho, esto no se quedará en mi oído.	0
Gran producto y precio.	1
Suena bien a un precio razonable y efectivo. ¡Es así de simple!	1
Todavía estoy esperando ... Estoy seguro de que este artículo funcionará bien ... ¡si alguna vez lo recibo!	0
que decepcion	0
Muy rápido servicio.	1
Excelente producto por el precio.	1
Muy contento con este auricular.	1
No malgastes tu dinero y tu tiempo.	0
Me encanta especialmente la larga duración de la batería.	1
Es tan estúpido tener que seguir comprando nuevos cargadores, cargadores de automóviles, bases, auriculares y kits de automóviles cada vez que sale un nuevo teléfono.	0
Funciona genial.	1
Plantronics Bluetooth Excelente compra.	1
Vine de Verizon porque cingulair tiene mejores teléfonos celulares ... lo primero que noté fue el muy mal servicio.	0
Voy a buscar un nuevo auricular.	0
¡Recomiendo este dispositivo a todos!	1
¡Jawbone Era también es increíble!	1
Recibimos una batería de color BLANCO que se APAGA después de un par de horas. El original solía durar una semana, pero aún dura más que la colocación.	0
Después de un año, la batería se agotó por completo en mis auriculares.	0
He usado varios teléfonos en dos años, pero este es el mejor.	1
¡Un nuevo look impresionante para el otoño de 2000!	1
Este es el primer teléfono que he tenido que ha sido fabricado de manera tan barata.	0
Att no está claro, el sonido está muy distorsionado y tienes que gritar cuando hablas.	0
El plástico se rompe muy fácilmente en este clip.	0
El precio también es bueno.	1
No cometas el mismo error que yo.	0
Ah, y olvidé mencionar también el extraño efecto de color que tiene en tu teléfono.	0
Lo estoy usando con un iriver SPINN (con estuche) y me queda bien.	1
También el área donde se rompió mi unidad) .- No soy muy aficionado a la correa magnética.	0
En general, estoy emocionado de tener un teléfono que tenga todas mis citas y contactos y reciba una excelente recepción.	1
todo en el teléfono funciona perfectamente, a ella le gusta.	1
Otra nota sobre la apariencia de este teléfono es que realmente se ve bastante soso, especialmente en el modelo completamente negro.	0
ES REALMENTE FÁCIL.	1
Mi Sanyo ha sobrevivido a docenas de gotas en el asfalto sin ningún efecto negativo.	1
Fantásticos auriculares.	1
Encuentra mi teléfono celular de inmediato cuando entro en el auto.	1
Baja calidad.	0
Recomiendo encarecidamente este teléfono celular de precio modesto.	1
Pero tiene una mejor recepción y claridad que cualquier otro teléfono que haya tenido antes.	1
Advertencia: aléjate.	0
Desearía poder devolver la unidad y recuperar mi dinero.	0
Impresionante dispositivo funciona genial !!.	1
Solía hablar sobre ello durante 1 - 1 1/2 horas y la batería estaba literalmente agotada y agotada.	0
Si no lo encuentra, es una lástima, ya que nuevamente la unidad viene con un solo auricular. No se lo recomendaría a nadie.	0
Muy disgustado	0
Podría haber tenido un defecto, pero no me arriesgaría a comprarlo nuevamente solo por la calidad de construcción.	0
Hicieron este caso demasiado pequeño y es muy difícil de instalar.	0
Restaurado mi teléfono para que me guste el nuevo rendimiento.	1
Recomiendo comprar el Jabra JX-10 series 2 que funciona a la perfección con mi Moto Q, imagínate.	1
Busqué en Internet y encontré que este es el mejor valor.	1
No se ajusta.	0
Muy feliz con este producto.	1
El tamaño de la pantalla es grande, el teclado está suficientemente iluminado y la calidad de la cámara es excelente para un teléfono con cámara.	1
Realmente no hay nada malo que pueda decir sobre este auricular.	0
Me alegro de haber encontrado este producto en Amazon, es difícil de encontrar, no era caro.	1
Portátil y funciona.	1
Mi colega y yo ahora tenemos una excelente recepción. Un poco caro, pero el rendimiento es excelente.	1
Incluso lo cargué por completo antes de irme a la cama y apagué bluetooth y wi-fi y noté que solo me quedaba un 20% por la mañana.	0
También he tenido problemas con el teléfono que lee la tarjeta de memoria en la que siempre lo enciendo y luego lo apago nuevamente.	0
No es bueno cuando se usa un sombrero o gafas de sol.	0
Envío oportuno y producto de calidad.	1
Bonito teclado sólido.	1
Muy bien hecho y se adapta perfectamente a mi Surefire GX2.	1
Horrible teléfono.	0
BT50 basura basura!	0
Se lo recomendaríamos a otros.	1
No puedo hacer que el software funcione con mi computadora.	0
¡Decepcionado!.	0
Poca claridad de voz.	0
¡La batería funciona muy bien!	1
¡Ningún comprador se arrepiente de esto!	0
Muy decepcionado con AccessoryOne.	0
Esto me parece inexcusable y probablemente devolveré este teléfono y tal vez cambie de operador.	0
Se ve muy bien y es fuerte &quot;.	1
He tenido el servicio TMobile durante 2 o 3 años y estoy bastante contento con él.	1
El procedimiento de actualización es difícil y engorroso.	0
Decepción .. Odio todo lo que pasa en mi oído.	0
Gran software para Motorolas.	1
La entrega llegó a tiempo.	1
Muy facil de usar.	1
Incómodo en el oído, no lo use con LG VX9900 (EnV).	0
El interruptor de volumen salió disparado de la unidad a un destino desconocido.	0
Mantiene una carga durante mucho tiempo, es razonablemente cómodo en condiciones de uso prolongado y la calidad del sonido es tremenda.	1
Me gustaría devolverlo.	0
El teclado realmente vale la pena en utilidad y es lo suficientemente resistente, no espero ningún problema.	1
Sin embargo, las facturas de Verizon son difíciles de entender a pesar de que sus planes de precios son simples.	0
Después de cargar durante la noche, estas baterías funcionan muy bien.	1
¡No te arrepentirás!	1
¡Me encanta este teléfono!	1
Una decepción.	0
No es fácil de usar.	0
Desafortunadamente, la capacidad de saber realmente que está recibiendo una llamada es una característica bastante importante y este teléfono es lamentable a ese respecto.	0
Luego cambié por el mismo teléfono, incluso ese tenía el mismo problema.	0
Esto da como resultado que el teléfono se atasque en el volumen máximo o se silencie.	0
Esta PDA es genial.	1
Está súper cargado para su uso como una pequeña cámara de mano híbrida / cámara / teléfono celular, y sobresale en esos roles.	1
¡Definitivamente recomendaría el Jabra BT250v para aquellos que buscan comodidad, claridad y un excelente precio!	1
Tuve Verizon hace 2 años y realmente me gustó su servicio.	1
Bastante pedazo de basura.	0
El enchufe era del tamaño incorrecto.	0
Funciona como se describe.	1
Ahorre su dinero ... He tenido este artículo durante 11 meses.	0
Mala compra	0
Bien, estoy satisfecho.	1
La cancelación de ruido bose es increíble, lo cual es muy importante para un viajero de Nueva York.	1
¡Esta batería es una excelente ganga!	1
Basura defectuosa.	0
No hubiera dado ninguna estrella si hubiera podido.	0
Llevo gafas y me queda bien.	1
La calidad del sonido del dispositivo es inaceptable. A menos que se encuentre en una zona realmente tranquila, casi no escucha nada.	0
No recomendaría este artículo a nadie.	0
La funda que llegó no coincidía con la foto en el anuncio.	0
genial ... no hay problemas en absoluto!	1
Como señaló una revisión anterior, conecte este cargador y no pasa nada.	0
Este encanto de teléfono de rana es adorable y muy llamativo.	1
Nunca se sabe si lo presionó lo suficiente o el número correcto de veces para la función que desea o no.	0
El sonido es claro y las personas con las que hablo también se sorprenden de la calidad.	1
Obtuve la carcasa de aluminio para mi nuevo Palm VX y funcionó muy bien: hasta ahora ha protegido perfectamente mi dispositivo de mano.	1
